operation_id,club_name,player_name,age,position,club_involved_name,tranfer_details,transfer_movement,transfer_period,fee,year,season,player_status,TRANSFER_TYPE
151526,Al-Hilal SFC,Khaled Aziz,18,Defensive Midfield,Unknown,?,in,Summer,0,2000,2000/2001,Active,Buy
151527,Al-Hilal SFC,Sami Al-Jaber,27,Centre-Forward,Wolves,loan transfer,out,Summer,0,2000,2000/2001,Active,Loan
151528,Al-Hilal SFC,Fahad Al-Ghesheyan,26,Right Winger,Al-Nassr FC,-,out,Summer,0,2000,2000/2001,Active,Promotion
151529,Al-Hilal SFC,Saleh Al-Salloumi,37,Goalkeeper,Retired,-,out,Summer,0,2000,2000/2001,Retired,Retired
151530,Al-Hilal SFC,Elijah Litana,29,Centre-Back,Retired,-,out,Summer,0,2000,2000/2001,Retired,Retired
151531,Ittihad Club,Marzouq Al-Otaibi,24,Centre-Forward,Al-Shabab FC,€2.00m,in,Summer,2000000,2000,2000/2001,Active,Buy
151532,Ittihad Club,Khalid Massad,28,Attacking Midfield,Al-Ahli SFC,free transfer,in,Summer,0,2000,2000/2001,Active,free transfer
151533,Ittihad Club,Ivan Malimon,21,Centre-Forward,Edessaikos,free transfer,in,Summer,0,2000,2000/2001,Active,free transfer
151534,Ittihad Club,Manaf Abushgeer,20,Left Midfield,Ittihad Club,-,in,Summer,0,2000,2000/2001,Active,Promotion
151535,Ittihad Club,Darci,31,Left Winger,Antalyaspor,?,out,Summer,0,2000,2000/2001,Active,Sell
151536,Ittihad Club,Macros Pereira,26,Attack,Seongnam Ilhwa,?,out,Summer,0,2000,2000/2001,Active,Sell
151537,Ittihad Club,Roberto Donadoni,36,Right Midfield,Retired,-,out,Summer,0,2000,2000/2001,Retired,Retired
151538,Al-Nassr FC,Saad Al-Shehri,20,Midfield,Al-Ettifaq FC,?,in,Summer,0,2000,2000/2001,Active,Buy
151539,Al-Nassr FC,Fahad Al-Ghesheyan,26,Right Winger,Al-Hilal SFC,-,in,Summer,0,2000,2000/2001,Active,Promotion
151540,Al-Nassr FC,Ahmed Bahja,29,Centre-Forward,Al-Ahli SFC,?,out,Summer,0,2000,2000/2001,Active,Sell
151541,Al-Nassr FC,Fahad Al Bishi,34,Midfield,Retired,-,out,Summer,0,2000,2000/2001,Retired,Retired
151542,Al-Nassr FC,Milson,22,Centre-Forward,Botafogo,"End of loanJun 30, 2000",out,Summer,0,2000,2000/2001,Active,Loan
151543,Al-Shabab FC,Mustapha Bidoudane,24,Centre-Forward,FUS Rabat,?,in,Summer,0,2000,2000/2001,Active,Buy
151544,Al-Shabab FC,Redha Tukar,24,Centre-Back,Ohod Club,?,in,Summer,0,2000,2000/2001,Active,Buy
151545,Al-Shabab FC,Marzouq Al-Otaibi,24,Centre-Forward,Ittihad Club,€2.00m,out,Summer,2000000,2000,2000/2001,Active,Sell
151546,Al-Ahli SFC,Mohammed Husain Bahzad,20,Centre-Back,Al-Najma,?,in,Summer,0,2000,2000/2001,Active,Buy
151547,Al-Ahli SFC,Naif Al-Qadi,21,Centre-Back,Unknown,?,in,Summer,0,2000,2000/2001,Active,Buy
151548,Al-Ahli SFC,Waleed Al-Gizani,19,Centre-Forward,Al-Ahli SFC,-,in,Summer,0,2000,2000/2001,Active,Promotion
151549,Al-Ahli SFC,Khalid Massad,28,Attacking Midfield,Ittihad Club,free transfer,out,Summer,0,2000,2000/2001,Active,free transfer
151550,Al-Ettifaq FC,Saad Al-Shehri,20,Midfield,Al-Nassr FC,?,out,Summer,0,2000,2000/2001,Active,Sell
151551,Al-Qadsiah FC,Saud Kariri,19,Defensive Midfield,Unknown,?,in,Summer,0,2000,2000/2001,Active,Buy
151552,Al-Qadsiah FC,Yasser Al-Qahtani,17,Centre-Forward,Al-Qadsiah FC,-,in,Summer,0,2000,2000/2001,Active,Promotion
151553,Al-Riyadh SC,Moussa N'Daw,31,Centre-Forward,Retired,-,out,Summer,0,2000,2000/2001,Retired,Retired
151554,Al-Wehda FC,Hassen Ghoula,31,Centre-Back,CR Béni Thour,?,in,Summer,0,2000,2000/2001,Active,Buy
151555,Al-Wehda FC,Nei Bala,22,Centre-Forward,Al-Ain FC,?,in,Summer,0,2000,2000/2001,Active,Buy
151556,Al-Wehda FC,Tarek Hadj Adlane,34,Centre-Forward,USM Alger,free transfer,out,Summer,0,2000,2000/2001,Active,free transfer
151557,Al-Wehda FC,Ernest Mtawali,31,Defensive Midfield,Orlando Pirates,?,out,Summer,0,2000,2000/2001,Active,Sell
151558,Al-Hilal SFC,Túlio,24,Defensive Midfield,Goiás,free transfer,in,Winter,0,2000,2000/2001,Active,free transfer
151559,Al-Hilal SFC,Abdullah Sulaiman Zubromawi,27,Centre-Back,Al-Ahli SFC,?,in,Winter,0,2000,2000/2001,Active,Buy
151560,Al-Hilal SFC,Christopher Wreh,25,Centre-Forward,Arsenal,?,in,Winter,0,2000,2000/2001,Active,Buy
151561,Al-Hilal SFC,Roni,23,Centre-Forward,Fluminense,loan transfer,in,Winter,0,2000,2000/2001,Active,Loan
151562,Al-Hilal SFC,Sami Al-Jaber,28,Centre-Forward,Wolves,"End of loanJan 30, 2001",in,Winter,0,2000,2000/2001,Active,Loan
